storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storecountry,storephone,latlonlocation,latlonlocationdv
Advance Auto Parts,CarQuest,1000224,16 N PARRAMORE AVE,ORLANDO,FL,32801,USA,4072093267,"28.5427249997754,-81.3890550411075","28.5427249997754,-81.3890550411075"
CARQUEST,CarQuest,1001172,13050 W COLONIAL DR,WINTER GARDEN,FL,34787,USA,4079050466,"28.5514172397157,-81.5586800500365","28.5514172397157,-81.5586800500365"
Advance Auto Parts,CarQuest,1000222,2050A N. FORSYTH ROAD,ORLANDO,FL,32807,USA,4076715404,"28.5637456610236,-81.2943830985248","28.5637456610236,-81.2943830985248"
TRI WHOLESALE CO.,CarQuest,1002095,"2705 ST HWY 35 SO, PO BOX 540",PORT LAVACA,TX,77979,USA,3615523772,"28.5805852953905,-96.6969727665944","28.5805852953905,-96.6969727665944"
Advance Auto Parts,CarQuest,1000327,6748 ALOMA AVE,WINTER PARK,FL,32792,USA,4076739051,"28.6022900007931,-81.3157250004868","28.6022900007931,-81.3157250004868"
PARTNER DELHI,CarQuest,1001851,772 JAMES STREET,DELHI,ON,N4B 2C9,CAN,5195824320,"28.6429634094238,77.1158752441406","28.6429634094238,77.1158752441406"
Advance Auto Parts,CarQuest,1000159,400 US HIGHWAY 1792 S,LONGWOOD,FL,32750,USA,4078309051,"28.6914287497311,-81.3280352002212","28.6914287497311,-81.3280352002212"
CARQUEST,CarQuest,1001037,2451 MCCRAKEN RD,SANFORD,FL,32771,USA,4073248586,"28.8030600016293,-81.2911549999362","28.8030600016293,-81.2911549999362"
Advance Auto Parts,CarQuest,1000436,309 NORTH CANAL STREET,LEESBURG,FL,34749,USA,3527871262,"28.808391990618,-81.8737762712887","28.808391990618,-81.8737762712887"
"DORNAK AUTO PARTS, INC.",CarQuest,1001400,1107 OAK STREET,JOURDANTON,TX,78026,USA,8307693553,"28.92129,-98.54171","28.92129,-98.54171"
DAVIS BROS AUTO SUPPLY  # 1,CarQuest,1001366,2802 AVE F,BAY CITY,TX,77414,USA,9792451541,"28.9843499961588,-95.9701055494601","28.9843499961588,-95.9701055494601"
FLORESVILLE AUTO SUPPLY 511,CarQuest,1001452,912 HWY 181 NORTH,FLORESVILLE,TX,78114,USA,8303938625,"29.1472613162642,-98.1588285047261","29.1472613162642,-98.1588285047261"
HARRISON SUPPLY CO.,CarQuest,1001518,1304 ST HIGHWAY 173 NORTH,DEVINE,TX,78016,USA,8306655977,"29.1511108989735,-98.920978959454","29.1511108989735,-98.920978959454"
CARQUEST,CarQuest,1001325,1700 SW 38TH AVE,OCALA,FL,34474,USA,3528733266,"29.1577349997993,-82.1855449771191","29.1577349997993,-82.1855449771191"
SUPERIOR MOTOR PARTS,CarQuest,1002060,214 N MECHANIC,EL CAMPO,TX,77437,USA,9795436211,"29.21074,-96.28124","29.21074,-96.28124"
AUTO PARTS EXPERTS,CarQuest,1000541,13611 HWY 181 S,SAN ANTONIO,TX,78223,USA,(210) 633-0366,"29.28498,-98.34476","29.28498,-98.34476"
CAR PARTS AND EQUIPMENT,CarQuest,1000640,2826 BROADWAY,GALVESTON,TX,77550,USA,4097634382,"29.29832000121,-94.7983200008374","29.29832000121,-94.7983200008374"
STAR PARTS,CarQuest,1002041,1119 E MILAM ST,WHARTON,TX,77488,USA,9795321500,"29.30825,-96.08893","29.30825,-96.08893"
MISSION AUTO PARTS,CarQuest,1001773,2918 ROOSEVELT,SAN ANTONIO,TX,78214,USA,2109212803,"29.374105,-98.48127","29.374105,-98.48127"
Advance Auto Parts,CarQuest,1000460,328 W PEDEN,SAN ANTONIO,TX,78204,USA,2102264172,"29.4102932110535,-98.5017290707633","29.4102932110535,-98.5017290707633"
MORENO AND SONS MILITARY DR,CarQuest,1001788,7508 MILITARY DR WEST,SAN ANTONIO,TX,78227,USA,2106732351,"29.41856,-98.62928","29.41856,-98.62928"
Advance Auto Parts,CarQuest,1000028,4515 FREDRICKSBURG RD. SUITE 3,BALCONES HEIGHTS,TX,78201,USA,2103415541,"29.48941,-98.55153","29.48941,-98.55153"
Advance Auto Parts,CarQuest,1000459,12929 BANDERA RD,HELOTES,TX,78023,USA,2106958524,"29.5549450001574,-98.6689349996044","29.5549450001574,-98.6689349996044"
DAVIS BROS. AUTO SUPPLY #2,CarQuest,1001367,2811 AVE H,ROSENBERG,TX,77471,USA,2812327707,"29.5576815509194,-95.820076510643","29.5576815509194,-95.820076510643"
Advance Auto Parts,CarQuest,1000278,514 W COURT S,SEGUIN,TX,78155,USA,8303791156,"29.5688440222351,-97.9706949859637","29.5688440222351,-97.9706949859637"
Advance Auto Parts,CarQuest,1000277,13819 SAN PEDRO,SAN ANTONIO,TX,78232,USA,2105457278,"29.5857772827148,-98.4516296386719","29.5857772827148,-98.4516296386719"
BERGERONS AUTOMOTIVE PARTS INC,CarQuest,1000581,118 N HOLLYWOOD RD,HOUMA,LA,70364,USA,9858760672,"29.6159789071542,-90.7112841714695","29.6159789071542,-90.7112841714695"
Advance Auto Parts,CarQuest,1000119,118 NW 8TH AVENUE,GAINESVILLE,FL,32601,USA,3523728581,"29.6594249836215,-82.3290199994888","29.6594249836215,-82.3290199994888"
SPECIALIZED PARTS COMPANY,CarQuest,1002022,1413 W SAN ANTONIO STREET,NEW BRAUNFELS,TX,78130,USA,8306258593,"29.69088,-98.13596","29.69088,-98.13596"
WICKS WESTERN AUTO,CarQuest,1002149,105 N CENTER ST,WEIMAR,TX,78962,USA,9797256525,"29.7167749937251,-96.7797541347486","29.7167749937251,-96.7797541347486"
CARQUEST,CarQuest,1000700,808 MAIN STREET,BANDERA,TX,78003,USA,8307963736,"29.727270794633,-99.0740740846687","29.727270794633,-99.0740740846687"
LEAKEY AUTO SUPPLY,CarQuest,1001685,114 WEST FIRST STREET,LEAKEY,TX,78873,USA,8302326656,"29.728732,-99.761781","29.728732,-99.761781"
KEYSTONE AUTO PARTS,CarQuest,1001644,7419 STATE RD 21,KEYSTONE HEIGHTS,FL,32656,USA,3524733561,"29.79042,-82.02707","29.79042,-82.02707"
GULF COAST AUTOMOTIVE,CarQuest,1001503,P.O. BOX 418-A,WINNIE,TX,77665,USA,4092962051,"29.8291301727295,-94.3369750976562","29.8291301727295,-94.3369750976562"
MONT BELVIEU AUTO SUPPLY,CarQuest,1001783,"11012 HWY 146 , P.O. BOX 673",MONT BELVIEU,TX,77580,USA,2813852696,"29.8601450000009,-94.8946350000113","29.8601450000009,-94.8946350000113"
R AND L AUTO SUPPLY,CarQuest,1001923,12103 FM1409   PO BOX 1434,MONT BELVIEU,TX,77580,USA,2815765837,"29.86894,-94.83248","29.86894,-94.83248"
Advance Auto Parts,CarQuest,1000276,510 S GUADALUPE,SAN MARCOS,TX,78666,USA,5123923068,"29.8789249997125,-97.9407800025135","29.8789249997125,-97.9407800025135"
Advance Auto Parts,CarQuest,1001562,320 N SALECEDO ST,NEW ORLEANS,LA,70119,USA,,"29.97021,-90.08918","29.97021,-90.08918"
Advance Auto Parts,CarQuest,1000015,221 SUMMERS DRIVE,ABBEVILLE,LA,70510,USA,3378930150,"29.9742984771729,-92.1284790039062","29.9742984771729,-92.1284790039062"
CARQUEST,CarQuest,1001031,15206 KUYKENDAHL ROAD,HOUSTON,TX,77090,USA,2818855440,"29.99952,-95.45516","29.99952,-95.45516"
Advance Auto Parts,CarQuest,1000140,421 W FIRST ST,KAPLAN,LA,70548,USA,3376432281,"30.0007700012932,-92.2947349994695","30.0007700012932,-92.2947349994695"
CARQUEST,CarQuest,1001162,1601 VETARANS HWY,METAIRIE,LA,70005,USA,5048346080,"30.0015550000417,-90.1315949999947","30.0015550000417,-90.1315949999947"
BEST AUTO PARTS,CarQuest,1000584,1805 WATER ST,KERRVILLE,TX,78028,USA,8302573544,"30.0354600000136,-99.1360099996912","30.0354600000136,-99.1360099996912"
CARQUEST,CarQuest,1001095,2620 JUNCTION HWY,KERRVILLE,TX,78028,USA,8303675712,"30.0729500008008,-99.2023300003254","30.0729500008008,-99.2023300003254"
B AND B AUTO AND FARM SUPPLY,CarQuest,1000558,264 W AUSTIN,GIDDINGS,TX,78942,USA,9795423615,"30.1831600157658,-96.9388699964714","30.1831600157658,-96.9388699964714"
CARX PERFORMANCE INC.,CarQuest,1000840,162 S W PINEMOUNT RD,LAKE CITY,FL,32024,USA,3867199901,"30.1835240018463,-82.7097785962782","30.1835240018463,-82.7097785962782"
Advance Auto Parts,CarQuest,1000435,600 E PRIEN LAKE ROAD,LAKE CHARLES,LA,70601,USA,3374775145,"30.198,-93.2137","30.198,-93.2137"
Advance Auto Parts,CarQuest,1000084,919 N PARKERSON AVE,CROWLEY,LA,70526,USA,3377834654,"30.2103749957241,-92.3714000091935","30.2103749957241,-92.3714000091935"
Advance Auto Parts,CarQuest,1000257,812 SOUTH ADAMS,RAYNE,LA,70578,USA,3373347527,"30.22812,-92.26905","30.22812,-92.26905"
CASCO AUTO PARTS #2,CarQuest,1000842,14042 OLD US HWY 59,SPLENDORA,TX,77372,USA,2813991215,"30.2330550001595,-95.162795000636","30.2330550001595,-95.162795000636"
Advance Auto Parts,CarQuest,1000272,3110 S. LAMAR BLVD,AUSTIN,TX,78704,USA,5124408848,"30.24233,-97.78472","30.24233,-97.78472"
HERBORT AUTO SUPPLY,CarQuest,1001538,516 GRANITE AVE,FREDERICKSBURG,TX,78624,USA,8309977554,"30.2668393807312,-98.8715388028473","30.2668393807312,-98.8715388028473"
LITTLE JON'S CARQUEST,CarQuest,1001703,1525 OHIO AVENUE NORTH,LIVE OAK,FL,32064,USA,3862190315,"30.2964499918953,-82.9842149805744","30.2964499918953,-82.9842149805744"
CAR PARTS CENTER BAY ST LOUIS,CarQuest,1000641,1111 HWY 90,BAY ST LOUIS,MS,39520,USA,2284676502,"30.31262,-89.36039","30.31262,-89.36039"
SCHOPPE AUTO SUPPLY,CarQuest,1001989,1422 AVENUE B N HWY 36,SOMERVILLE,TX,77879,USA,9795961612,"30.339029965028,-96.5351500390679","30.339029965028,-96.5351500390679"
Advance Auto Parts,CarQuest,1000259,8701 RESEARCH BLVD,AUSTIN,TX,78758,USA,5128340200,"30.36494,-97.71741","30.36494,-97.71741"
Advance Auto Parts,CarQuest,1000092,34883 EMERALD COAST HIGHWAY,DESTIN,FL,32541,USA,8502690533,"30.3897163295601,-86.4215550595013","30.3897163295601,-86.4215550595013"
Advance Auto Parts,CarQuest,1000031,11206 AIRLINE HWY,BATON ROUGE,LA,70816,USA,2252916888,"30.40061,-91.05684","30.40061,-91.05684"
CARQUEST,CarQuest,1000999,314 NORTH MAIN,CHURCH POINT,LA,70525,USA,3376846353,"30.406720699791,-92.2180839341938","30.406720699791,-92.2180839341938"
CONNIE LILES AUTO PARTS,CarQuest,1000884,1127 W ORANGE AVE,TALLAHASSEE,FL,32310,USA,8505761941,"30.412580000003,-84.29082","30.412580000003,-84.29082"
Advance Auto Parts,CarQuest,1000348,1813 WEST PARMER LANE,AUSTIN,TX,78727,USA,5122980879,"30.4132,-97.69188","30.4132,-97.69188"
"SEAMAN PARTS AND SUPPLY, INC.",CarQuest,1001996,12970 N. WINTZELL AVENUE,BAYOU LA BATRE,AL,36509,USA,2518242101,"30.4200586074786,-88.2442609384173","30.4200586074786,-88.2442609384173"
Advance Auto Parts,CarQuest,1000308,412 N DUVAL ST,TALLAHASSEE,FL,32302,USA,8502228780,"30.4450899980358,-84.2831053648516","30.4450899980358,-84.2831053648516"
Advance Auto Parts,CarQuest,1000118,128 RACETRACK RD NE,FT WALTON BEACH,FL,32548,USA,8508631184,"30.4482250468774,-86.6116599710389","30.4482250468774,-86.6116599710389"
CONNIE LILES AUTO PARTS-NE,CarQuest,1000885,1830 CAPITAL CIR NE,TALLAHASSEE,FL,32308,USA,8508778223,"30.46767,-84.23092","30.46767,-84.23092"
CARQUEST,CarQuest,1001323,2001 OAK VILLA BLVD,BATON ROUGE,LA,70815,USA,2259235777,"30.46801,-91.09008","30.46801,-91.09008"
Advance Auto Parts,CarQuest,1000082,1234 COLLINS BLVD,COVINGTON,LA,70433,USA,9858980550,"30.4888650000115,-90.0946849998672","30.4888650000115,-90.0946849998672"
CARQUEST,CarQuest,1000737,1614 MAIN ST,JUNCTION,TX,76849,USA,3254462162,"30.4904600122715,-99.7763600182715","30.4904600122715,-99.7763600182715"
MILLERS AUTO SUPPLY,CarQuest,1001767,18341 HWY 1431,JONESTOWN,TX,78645,USA,5122672589,"30.50337,-97.91507","30.50337,-97.91507"
Advance Auto Parts,CarQuest,1000314,336 HWY 190,VALPARAISO,FL,32580,USA,8506784169,"30.51335,-86.51211","30.51335,-86.51211"
WILDE AUTO PLUS,CarQuest,1002150,155 HIGHWAY 36 S,CALDWELL,TX,77836,USA,9795673842,"30.5169187285087,-96.6850957135966","30.5169187285087,-96.6850957135966"
MONTICELLO CARQUEST,CarQuest,1001785,1321 S. JEFFERSON ST,MONTICELLO,FL,32344,USA,8509975207,"30.5335953571242,-83.8703203535317","30.5335953571242,-83.8703203535317"
H & H AUTO AND TRUCK PARTS,CarQuest,1001506,1406 HWY 281 N,MARBLE FALLS,TX,78654,USA,8306935731,"30.58382,-98.27362","30.58382,-98.27362"
Advance Auto Parts,CarQuest,1000187,5390 HWY 90 DRIVE,MOBILE,AL,36619,USA,2516660134,"30.5911755580574,-88.1697209904909","30.5911755580574,-88.1697209904909"
Advance Auto Parts,CarQuest,1000347,603 WEST UNIVERSITY,GEORGETOWN,TX,78626,USA,5129303877,"30.6332050005819,-97.6819500000202","30.6332050005819,-97.6819500000202"
CARQUEST,CarQuest,1000778,1817 W. CAMERON,ROCKDALE,TX,76567,USA,5124465471,"30.64599,-97.0226","30.64599,-97.0226"
CARQUEST,CarQuest,1001038,1017 E I65 SERVICE RD S,MOBILE,AL,36606,USA,2515090160,"30.66847,-88.1262","30.66847,-88.1262"
CARQUEST,CarQuest,1000955,4324 HWY 19,ZACHARY,LA,70791,USA,2256542601,"30.68386,-91.14888","30.68386,-91.14888"
TOTAL AUTOMOTIVE,CarQuest,1002087,610 TATE COVE RD,VILLE PLATTE,LA,70586,USA,3373637771,"30.68914,-92.26406","30.68914,-92.26406"
Advance Auto Parts,CarQuest,1000186,3107 SPRING HILL AVE,MOBILE,AL,36607,USA,2514799434,"30.70043,-88.114","30.70043,-88.114"
Advance Auto Parts,CarQuest,1000083,689 NORTH FERDON,CRESTVIEW,FL,32536,USA,8506825191,"30.7549381256104,-86.5713882446289","30.7549381256104,-86.5713882446289"
CARQUEST,CarQuest,1001186,4187 LAFAYETTE STREET,MARIANNA,FL,32446,USA,8505262560,"30.7743820976228,-85.2284852143752","30.7743820976228,-85.2284852143752"
MAGIC CITY AUTO PARTS,CarQuest,1001729,628 COLUMBIA ST,BOGALUSA,LA,70427,USA,9857356588,"30.7774966825714,-89.8554380301865","30.7774966825714,-89.8554380301865"
KINGSLAND CARQUEST,CarQuest,1001650,301C E KING ST,KINGSLAND,GA,31548,USA,9128829395,"30.7973194122314,-81.6870651245117","30.7973194122314,-81.6870651245117"
SMITHS AUTOMOTIVE PARTS AND SERV,CarQuest,1002015,1145 CENTRAL AVE W,WIGGINS,MS,39577,USA,6019284841,"30.8518150419482,-89.1392100007399","30.8518150419482,-89.1392100007399"
MILAM AUTO SUPPLY INC.,CarQuest,1001761,301 W 4TH,CAMERON,TX,76520,USA,2546976533,"30.8531250001461,-96.9766149998882","30.8531250001461,-96.9766149998882"
PERRY'S AUTO PARTS,CarQuest,1001864,223 11TH AVENUE,FRANKLINTON,LA,70438,USA,9858393011,"30.8572600010919,-90.1587249683566","30.8572600010919,-90.1587249683566"
KENTS AUTOMOTIVE,CarQuest,1001642,P O BOX 520      712 N DIVIDE,ELDORADO,TX,76936,USA,3258532733,"30.8626689910889,-100.597991943359","30.8626689910889,-100.597991943359"
HEARNE CARQUEST LLC,CarQuest,1001532,105  W 3RD ST,HEARNE,TX,77859,USA,9792793454,"30.8809393429721,-96.5950080573193","30.8809393429721,-96.5950080573193"
Advance Auto Parts,CarQuest,1000116,1404 WEST DICKINSON BOULEVARD,FORT STOCKTON,TX,79735,USA,4323367611,"30.894449,-102.894091","30.894449,-102.894091"
C AND T AUTO,CarQuest,1000634,PO BOX 1090,IRAAN,TX,79744-1090,USA,4326392189,"30.9109153747559,-101.900466918945","30.9109153747559,-101.900466918945"
S AND W AUTO PARTS,CarQuest,1001980,5328 COTTON STREET,GRACEVILLE,FL,32440,USA,8502633249,"30.9579600000004,-85.5166799999592","30.9579600000004,-85.5166799999592"
D AND M SUPPLY SIMMESPORT,CarQuest,1001352,15978 HWY 1 NORTH,SIMMESPORT,LA,71369,USA,3189412351,"30.98846,-91.8315","30.98846,-91.8315"
Advance Auto Parts,CarQuest,1000121,711 E TOWN AVE,GENEVA,AL,36340,USA,3346842228,"31.03254,-85.86652","31.03254,-85.86652"
WALKER'S AUTO AND OUTDOOR INC.,CarQuest,1002127,470 NORTH CHURCH STREET,HOMERVILLE,GA,31634,USA,9124870084,"31.04308,-82.74991","31.04308,-82.74991"
B AND W AUTO PARTS,CarQuest,1000564,430 SOUTH BLVD,BREWTON,AL,36427,USA,2518677726,"31.1033599999954,-87.0727200000695","31.1033599999954,-87.0727200000695"
HUMPHRIES AUTO PARTS,CarQuest,1001581,46 MS-589,PURVIS,MS,39475,USA,6017943771,"31.14653,-89.39845","31.14653,-89.39845"
DAVIS AUTO SUPPLY,CarQuest,1001365,116 MAIN STREET,LIBERTY,MS,39645,USA,6016578590,"31.1583035593001,-90.8074745764003","31.1583035593001,-90.8074745764003"
Advance Auto Parts,CarQuest,1000195,212 FIRST AVENUE SE,MOULTRIE,GA,31768,USA,2299853232,"31.1788700000447,-83.78354","31.1788700000447,-83.78354"
Advance Auto Parts,CarQuest,1000098,1024 S OATES STREET,DOTHAN,AL,36301,USA,3347934676,"31.1841450000009,-85.4016250001006","31.1841450000009,-85.4016250001006"
BIG LAKE AUTO PARTS INC,CarQuest,1000587,211 SECOND STREET,BIG LAKE,TX,76932,USA,3258842421,"31.19187,-101.46332","31.19187,-101.46332"
LANGFORD AUTO PARTS,CarQuest,1001678,"4183 NORWICH ST, EXT",BRUNSWICK,GA,31520,USA,9122658884,"31.1925372824359,-81.5044238453715","31.1925372824359,-81.5044238453715"
4 KORNERS AUTO PARTS,CarQuest,1000002,390 SS CAPTAIN GLOSTER,GLOSTER,MS,39638,USA,6012259915,"31.1990050005151,-90.9969549996721","31.1990050005151,-90.9969549996721"
LANGFORD AUTO PARTS OF WAYCROSS,CarQuest,1001679,2103-D MEMORIAL DRIVE,WAYCROSS,GA,31501,USA,9125481020,"31.2130794525146,-82.3442306518555","31.2130794525146,-82.3442306518555"
CARQUEST,CarQuest,1000718,524 LUMBERTON ROAD,COLUMBIA,MS,39429,USA,6017366301,"31.2406931556168,-89.8306468828802","31.2406931556168,-89.8306468828802"
LAWRENCE AUTO PARTS,CarQuest,1001684,325 NEWTON RD,CAMILLA,GA,31730,USA,2293367335,"31.2458250012354,-84.2406749980556","31.2458250012354,-84.2406749980556"
GAFFORD AUTO PARTS INC.,CarQuest,1001468,111 COLEMAN,MARLIN,TX,76661,USA,2548833528,"31.3074900007331,-96.894945","31.3074900007331,-96.894945"
HASKINS AUTO PARTS,CarQuest,1001522,916 NORTH MAIN STREET,PEARSON,GA,31642,USA,9124223821,"31.3107,-82.84853","31.3107,-82.84853"
B AND C AUTO PARTS / BRANNON A.P,CarQuest,1000560,814 RIVER FALLS STREET,ANDALUSIA,AL,36420,USA,3342228451,"31.3145216711666,-86.4947568171544","31.3145216711666,-86.4947568171544"
BUXTON'S CARQUEST OF HATTIESBURG,CarQuest,1000621,415 BROADWAY,HATTIESBURG,MS,39401,USA,6015458181,"31.316460000028,-89.3042350000181","31.316460000028,-89.3042350000181"
AUTO PARTES TKT,CarQuest,1000534,CALLE 3 AVE 26 NO 2598,AGUA PRIETA,SO,85608,MEX,(633) 338-0652,"31.3311851,-109.5685698","31.3311851,-109.5685698"
CURRYS AUTO PARTS,CarQuest,1001338,133 HIGHWAY 7 WEST,KENNARD,TX,75847,USA,9366552219,"31.35964,-95.18343","31.35964,-95.18343"
HUDSON AUTO PARTS,CarQuest,1001579,1160 HIGHWAY 42,SUMRALL,MS,39482,USA,6017584528,"31.40906,-89.577925","31.40906,-89.577925"
DAVIDSON AUTO PARTS,CarQuest,1001363,1811 MAIN ST,GATESVILLE,TX,76528,USA,2548657257,"31.4347499044999,-97.7279450013386","31.4347499044999,-97.7279450013386"
Advance Auto Parts,CarQuest,1000310,516 SOUTH MAIN,TIFTON,GA,31794,USA,2293822247,"31.44945,-83.50896","31.44945,-83.50896"
PARTS AND SERVICE,CarQuest,1001852,301 N EAST AVE,OZARK,AL,36360,USA,3347745151,"31.4608828845482,-85.6400024028932","31.4608828845482,-85.6400024028932"
CHARLES AUTOMOTIVE SUPPLY INC.,CarQuest,1000854,P.O BOX 1353,CHATOM,AL,36518,USA,2518473650,"31.4661445617676,-88.2592010498047","31.4661445617676,-88.2592010498047"
Advance Auto Parts,CarQuest,1000099,114 EAST BRYAN STREET,DOUGLAS,GA,31533,USA,9123843105,"31.5063400011977,-82.8476449998813","31.5063400011977,-82.8476449998813"
DANIELS SUPPLY,CarQuest,1001355,105 NORTH OAK STREET,SEMINARY,MS,39479,USA,6017223263,"31.5642450002336,-89.4992549999343","31.5642450002336,-89.4992549999343"
ALS AUTO SUPPLY,CarQuest,1000500,586 WEST CHERRY ST,JESUP,GA,31545,USA,9124279571,"31.6106550000763,-81.8895499998271","31.6106550000763,-81.8895499998271"
JONES FAMILY SUPPLY INC.,CarQuest,1001619,3248 N HWY. 49,COLLINS,MS,39428,USA,6017656141,"31.629215,-89.551975","31.629215,-89.551975"
BCS TRUCK & AUTO - CARQUEST,CarQuest,1000576,P.O. BOX 1858,JENA,LA,71342,USA,3189922886,"31.6877746582031,-92.1323471069336","31.6877746582031,-92.1323471069336"
Advance Auto Parts,CarQuest,1000148,1021 ROGERS STREET,LAUREL,MS,39442,USA,6014253112,"31.6968193054199,-89.1351776123047","31.6968193054199,-89.1351776123047"
Advance Auto Parts,CarQuest,1000428,615 NORTH ZARAGOZA ROAD,EL PASO,TX,79907,USA,,"31.70477,-106.32116","31.70477,-106.32116"
Advance Auto Parts,CarQuest,1000160,386 SOUTH FOREST AVENUE,LUVERNE,AL,36049,USA,3343353366,"31.7111835495589,-86.263738035603","31.7111835495589,-86.263738035603"
"PARTS AND SERVICE, LLC",CarQuest,1001853,415 NORTH MAIN STREET,BRUNDIDGE,AL,36010,USA,3347353633,"31.722938070884,-85.8163488363081","31.722938070884,-85.8163488363081"
Advance Auto Parts,CarQuest,1000107,11220 ROJAS  SUITE C7,EL PASO,TX,79935,USA,9155924177,"31.7607269287109,-106.333786010742","31.7607269287109,-106.333786010742"
Advance Auto Parts,CarQuest,1000106,5660 ALAMEDA AVE,EL PASO,TX,79905,USA,9152134002,"31.7672,-106.42109","31.7672,-106.42109"
Advance Auto Parts,CarQuest,1000424,2929 ALAMEDA AVE,EL PASO,TX,79905,USA,9153173025,"31.7735549661517,-106.460975147239","31.7735549661517,-106.460975147239"
Advance Auto Parts,CarQuest,1000427,9426 MONTANA STREET,EL PASO,TX,79925,USA,9156132646,"31.7967100060141,-106.342665003098","31.7967100060141,-106.342665003098"
Advance Auto Parts,CarQuest,1000312,604 N THREE NOTCH ST,TROY,AL,36081,USA,3345660640,"31.8089300221858,-85.9721725841571","31.8089300221858,-85.9721725841571"
AJ'S AUTO PARTS COLEMAN,CarQuest,1000486,400 S. CONCHO,COLEMAN,TX,76834,USA,3256252168,"31.8215350000001,-99.424134999977","31.8215350000001,-99.424134999977"
Advance Auto Parts,CarQuest,1000426,8305 DYER STREET STE A,EL PASO,TX,79904,USA,9154445018,"31.85551,-106.43821","31.85551,-106.43821"
Advance Auto Parts,CarQuest,1000425,5372 DONIPHAN ROAD,EL PASO,TX,79932,USA,9154445017,"31.8602550000016,-106.587109999988","31.8602550000016,-106.587109999988"
PETROLEUM WHOLESALE L.P.,CarQuest,1001871,10400 INTERSTATE 20 @ HWY 1788,MIDLAND,TX,79706,USA,4325630075,"31.922305,-102.19455","31.922305,-102.19455"
MILTON'S AUTO SUPPLY,CarQuest,1001769,333 SOUTH MAIN STREET,WINTERS,TX,79567,USA,3257544578,"31.955135,-99.963036","31.955135,-99.963036"
CLAIBORNE AUTO PARTS & CAR CARE,CarQuest,1000864,101 WALNUT STREET,PORT GIBSON,MS,39150,USA,6014375231,"31.96081,-90.98512","31.96081,-90.98512"
BRADFORD AUTO PARTS,CarQuest,1000603,P.O.BOX 365,PINE HILL,AL,36769,USA,3349634419,"31.9913291931152,-87.5777435302734","31.9913291931152,-87.5777435302734"
Advance Auto Parts,CarQuest,1000180,300 E TEXAS AVE,MIDLAND,TX,79701,USA,4326844456,"32.0005700004401,-102.057105000329","32.0005700004401,-102.057105000329"
"BRITTS AUTOMOTIVE, LLC",CarQuest,1000608,168 LAKE ROAD,MANSFIELD,LA,71052,USA,3188725561,"32.0466197722363,-93.6900701820994","32.0466197722363,-93.6900701820994"
UNITED AUTO PARTS,CarQuest,1002107,P.O. BOX 551,BUTLER,AL,36904,USA,2054595095,"32.0940093994141,-88.2204895019531","32.0940093994141,-88.2204895019531"
CARQUEST,CarQuest,1001268,3600 SOUTH PALO VERDE,TUCSON,AZ,85713,USA,5202943462,"32.1893800000119,-110.916915000048","32.1893800000119,-110.916915000048"
AUTO PARTS CO.,CarQuest,1000539,1345 SOUTH LOOP,STEPHENVILLE,TX,76401,USA,2549653030,"32.2054835792763,-98.2089825926243","32.2054835792763,-98.2089825926243"
TUC-WEST GRANT ROAD AZ # 2915,CarQuest,1002100,1890 WEST GRANT ROAD,TUCSON,AZ,85745,USA,5208873515,"32.2503050000666,-110.994579999993","32.2503050000666,-110.994579999993"
"DUNNES AUTOMOTIVE SUPPLY, INC",CarQuest,1001408,301 EAST PINE STREET,DEMING,NM,88030,USA,5755468866,"32.2686200038313,-107.71974","32.2686200038313,-107.71974"
"AP AND H, INC.",CarQuest,1000506,P. O. BOX 38,ORRVILLE,AL,36767,USA,3349968821,"32.3002815246582,-87.2473602294922","32.3002815246582,-87.2473602294922"
Advance Auto Parts,CarQuest,1000147,455 NORTH VALLEY RD UNIT 1,LAS CRUCES,NM,88005,USA,5055265504,"32.3076100000193,-106.7946699999","32.3076100000193,-106.7946699999"
NICK'S SUPPLY COMPANY,CarQuest,1001816,1733 WASHINGTON STREET,VICKSBURG,MS,39182-0605,USA,6016365571,"32.3121604919434,-90.881706237793","32.3121604919434,-90.881706237793"
TYLER AUTOMOTIVE,CarQuest,1002106,107 BROAD STREET,BUENA VISTA,GA,31803,USA,2296492441,"32.3197049194255,-84.5182712971618","32.3197049194255,-84.5182712971618"
Advance Auto Parts,CarQuest,1000384,409 W. HENDERSON STREET,CLEBURNE,TX,76031,USA,6829706421,"32.34655,-97.39032","32.34655,-97.39032"
Advance Auto Parts,CarQuest,1000188,600 AIR BASE BLVD,MONTGOMERY,AL,36108,USA,3348341083,"32.3478681893626,-86.3408085840909","32.3478681893626,-86.3408085840909"
Advance Auto Parts,CarQuest,1000368,3065-A SELMA HIWAY,MONTGOMERY,AL,36108,USA,3342842836,"32.3564109802246,-86.3377914428711","32.3564109802246,-86.3377914428711"
CARQUEST,CarQuest,1001088,4639 MCWIILIE DR,JACKSON,MS,39206,USA,6013625431,"32.3580450000889,-90.1536949883522","32.3580450000889,-90.1536949883522"
